"Verb"|"Root"|"VerbOld"|"RootOld"|"Form"|"Frequency"|"Translation"|"Nederlands"|"Turks"|"NL"|"TR"
"أَخْلَصُ"|"خ ل ص"|"أَخْلَصُ"|"خ ل ص"|"IV"|"2"|"to choose, to be sincere"|"kiezen, oprecht zijn"|"seçmek, samimi olmak"|"NL"|"TR"
"أَسْتَخْلِصْ"|"خ ل ص"|"أَسْتَخْلِصْ"|"خ ل ص"|"X"|"1"|"to select"|"selecteren"|"seçmek"|"NL"|"TR"
"خَلَطُ"|"خ ل ط"|"خَلَطُ"|"خ ل ط"|"I"|"1"|"to mix"|"mengen"|"karıştırmak"|"NL"|"TR"
"تُخَالِطُ"|"خ ل ط"|"تُخَالِطُ"|"خ ل ط"|"III"|"1"|"to associate"|"associëren"|"ilişkilendirmek"|"NL"|"TR"
"ٱخْتَلَطَ"|"خ ل ط"|"ٱخْتَلَطَ"|"خ ل ط"|"VIII"|"3"|"to join, to absorb, to mingle"|"bij elkaar brengen, absorberen, zich mengen"|"katılmak, absorbe etmek, karıştırmak"|"NL"|"TR"
"ٱخْلَعْ"|"خ ل ع"|"ٱخْلَعْ"|"خ ل ع"|"I"|"1"|"to remove"|"verwijderen"|"kaldırmak"|"NL"|"TR"
"خَلَفَ"|"خ ل ف"|"خَلَفَ"|"خ ل ف"|"I"|"5"|"to succeed, to come after"|"slagen, nakomen"|"başarılı olmak, sonra gelmek"|"NL"|"TR"
"خُلِّفُ"|"خ ل ف"|"خُلِّفُ"|"خ ل ف"|"II"|"1"|"to leave behind"|"achter laten"|"geride bırakmak"|"NL"|"TR"
"يُخَالِفُ"|"خ ل ف"|"يُخَالِفُ"|"خ ل ف"|"III"|"2"|"to oppose, to differ"|"verzetten tegen, verschillen"|"karşı çıkmak, farklı olmak"|"NL"|"TR"
"أَخْلَفُ"|"خ ل ف"|"أَخْلَفُ"|"خ ل ف"|"IV"|"14"|"to break, to fail"|"breken, falen"|"kırmak, başarısız olmak"|"NL"|"TR"
"يَتَخَلَّفُ"|"خ ل ف"|"يَتَخَلَّفُ"|"خ ل ف"|"V"|"1"|"to remain behind"|"achterblijven"|"geride kalmak"|"NL"|"TR"
"ٱخْتَلَفَ"|"خ ل ف"|"ٱخْتَلَفَ"|"خ ل ف"|"VIII"|"35"|"to differ"|"verschillen"|"farklı olmak"|"NL"|"TR"
"ٱسْتَخْلَفَ"|"خ ل ف"|"ٱسْتَخْلَفَ"|"خ ل ف"|"X"|"5"|"to grant succession"|"opvolging toe te kennen"|"veraset tanımak/vermek"|"NL"|"TR"
"خَلَقَ"|"خ ل ق"|"خَلَقَ"|"خ ل ق"|"I"|"184"|"to create"|"maken"|"oluşturmak"|"NL"|"TR"
"خَلَا"|"خ ل و"|"خَلَا"|"خ ل و"|"I"|"25"|"to pass away"|"voorbijgaan"|"ölmek"|"NL"|"TR"
"خَلُّ"|"خ ل و"|"خَلُّ"|"خ ل و"|"II"|"1"|"to leave"|"verlaten"|"terk etmek"|"NL"|"TR"
"تَخَلَّتْ"|"خ ل و"|"تَخَلَّتْ"|"خ ل و"|"V"|"1"|"to become empty"|"leeglopen"|"Boşalmak"|"NL"|"TR"
"خَاضُ"|"خ و ض"|"خَاضُ"|"خ و ض"|"I"|"9"|"to engage in idle talk, to converse vainly"|"om deel te nemen in idle praten, vergeefse converseren"|"Boş konuşma yapmak, boşuna sohbet etmek"|"NL"|"TR"
"خَافَ"|"خ و ف"|"خَافَ"|"خ و ف"|"I"|"83"|"to fear, to be afraid"|"vrezen, bang zijn"|"korkmak, korkmak"|"NL"|"TR"
"يُخَوِّفُ"|"خ و ف"|"يُخَوِّفُ"|"خ و ف"|"II"|"4"|"to frighten, to threaten"|"angst aan te jagen, bedreigen"|"korkutmak, tehdit etmek"|"NL"|"TR"
"خَوَّلَ"|"خ و ل"|"خَوَّلَ"|"خ و ل"|"II"|"3"|"to bestow"|"schenken"|"ihsan etmek"|"NL"|"TR"
"خَانُ"|"خ و ن"|"خَانُ"|"خ و ن"|"I"|"5"|"to betray"|"verraden"|"ihanet etmek"|"NL"|"TR"
"يَخْتَانُ"|"خ و ن"|"يَخْتَانُ"|"خ و ن"|"VIII"|"2"|"to deceive"|"misleiden"|"aldatmak"|"NL"|"TR"
"خَابَ"|"خ ي ب"|"خَابَ"|"خ ي ب"|"I"|"4"|"to fail"|"falen"|"başarısız olmak"|"NL"|"TR"
"يَتَخَيَّرُ"|"خ ي ر"|"يَتَخَيَّرُ"|"خ ي ر"|"V"|"2"|"to select, to choose"|"selecteren, uitkiezen"|"seçmek, seçmek"|"NL"|"TR"
"ٱخْتَارَ"|"خ ي ر"|"ٱخْتَارَ"|"خ ي ر"|"VIII"|"4"|"to choose"|"kiezen"|"seçmek"|"NL"|"TR"
"يُخَيَّلُ"|"خ ي ل"|"يُخَيَّلُ"|"خ ي ل"|"II"|"1"|"to seem"|"lijken"|"görünmek"|"NL"|"TR"
"يُدَبِّرُ"|"د ب ر"|"يُدَبِّرُ"|"د ب ر"|"II"|"4"|"to dispose, to arrange"|"vervreemden, regelen"|"elden çıkarmak, ayarlamak"|"NL"|"TR"
"أَدْبَرَ"|"د ب ر"|"أَدْبَرَ"|"د ب ر"|"IV"|"4"|"to turn away, to depart"|"wegdraaien, vertrekken"|"yüz çevirmek, ayrılmak"|"NL"|"TR"
"يَتَدَبَّرُ"|"د ب ر"|"يَتَدَبَّرُ"|"د ب ر"|"V"|"4"|"to ponder"|"nadenken"|"düşünmek"|"NL"|"TR"
"يُدْحِضُ"|"د ح ض"|"يُدْحِضُ"|"د ح ض"|"IV"|"2"|"to refute"|"weerleggen"|"aksini ispatlamak"|"NL"|"TR"
"دَحَىٰ"|"د ح و"|"دَحَىٰ"|"د ح و"|"I"|"1"|"to spread"|"spreiden"|"yaymak"|"NL"|"TR"
"دَخَلَ"|"د خ ل"|"دَخَلَ"|"د خ ل"|"I"|"76"|"to enter"|"binnengaan"|"girmek"|"NL"|"TR"
"أُدْخِلَ"|"د خ ل"|"أُدْخِلَ"|"د خ ل"|"IV"|"42"|"to admit"|"toegeven"|"itiraf etmek"|"NL"|"TR"
"يَدْرَؤُا۟"|"د ر ا"|"يَدْرَؤُا۟"|"د ر ا"|"I"|"4"|"to avert, to repel, to prevent"|"afwenden, afweren, om te voorkomen dat"|"önlemek, püskürtmek, önlemek"|"NL"|"TR"
"ٱدَّٰرَْٰٔ"|"د ر ا"|"ٱدَّٰرَْٰٔ"|"د ر ا"|"VI"|"1"|"to dispute"|"betwisten"|"itiraz etmek"|"NL"|"TR"
"نَسْتَدْرِجُ"|"د ر ج"|"نَسْتَدْرِجُ"|"د ر ج"|"X"|"2"|"to gradually lead"|""|""|"NL"|"TR"
"دَرَسُ"|"د ر س"|"دَرَسُ"|"د ر س"|"I"|"5"|"to study, to learn"|"studeren, leren"|"çalışmak, öğrenmek"|"NL"|"TR"
"أَدْرَكَ"|"د ر ك"|"أَدْرَكَ"|"د ر ك"|"IV"|"6"|"to overtake, to grasp"|"inhalen, begrijpen"|"sollamak, kavramak"|"NL"|"TR"
"ٱدَّٰرَكَ"|"د ر ك"|"ٱدَّٰرَكَ"|"د ر ك"|"VI"|"3"|"to overtake, to arrest"|"inhalen, arresteren"|"sollamak, tutuklamak"|"NL"|"TR"
"تَدْرِى"|"د ر ي"|"تَدْرِى"|"د ر ي"|"I"|"12"|"to know"|"weten"|"bilmek"|"NL"|"TR"
"أَدْرَىٰ"|"د ر ي"|"أَدْرَىٰ"|"د ر ي"|"IV"|"17"|"to make known"|"bekend maken"|"Bilinen yapmak"|"NL"|"TR"
"يَدُسُّ"|"د س س"|"يَدُسُّ"|"د س س"|"I"|"1"|"to bury"|"begraven"|"gömmek"|"NL"|"TR"
"دَسَّىٰ"|"د س و"|"دَسَّىٰ"|"د س و"|"I"|"1"|"to bury"|"begraven"|"gömmek"|"NL"|"TR"
"يَدُعُّ"|"د ع ع"|"يَدُعُّ"|"د ع ع"|"I"|"2"|"to thrust, to repulse"|"duwen, afstoten"|"itmek, püskürtmek"|"NL"|"TR"
"دَعَا"|"د ع و"|"دَعَا"|"د ع و"|"I"|"170"|"to call, to invite, to pray"|"roepen, uitnodigen, bidden"|"aramak, davet etmek, dua etmek"|"NL"|"TR"
"يَدَّعُ"|"د ع و"|"يَدَّعُ"|"د ع و"|"VIII"|"3"|"to call, to ask"|"roepen, vragen"|"aramak, sormak"|"NL"|"TR"
"دَفَعْ"|"د ف ع"|"دَفَعْ"|"د ف ع"|"I"|"5"|"to defend, to deliver, to repel"|"verdedigen, leveren, weren"|"savunmak, sunmak, püskürtmek"|"NL"|"TR"
"يُدَٰفِعُ"|"د ف ع"|"يُدَٰفِعُ"|"د ف ع"|"III"|"1"|"to defend"|"verdedigen"|"savunmak"|"NL"|"TR"
"دُكَّتِ"|"د ك ك"|"دُكَّتِ"|"د ك ك"|"I"|"2"|"to crush, to level"|"verpletteren, naar niveau brengen"|"ezmek, düzeyine getirmek"|"NL"|"TR"
"دَلَّ"|"د ل ل"|"دَلَّ"|"د ل ل"|"I"|"7"|"to indicate, to show, to direct"|""|""|"NL"|"TR"
"تَدَلَّىٰ"|"د ل و"|"تَدَلَّىٰ"|"د ل و"|"I"|"1"|"to come down"|"naar beneden komen"|"inmek"|"NL"|"TR"
"أَدْلَىٰ"|"د ل و"|"أَدْلَىٰ"|"د ل و"|"IV"|"2"|"to present, to let down"|"presenteren, neerlaten"|"Sunmak, indirmek"|"NL"|"TR"
"دَمْدَمَ"|"د م د م"|"دَمْدَمَ"|"د م د م"|"I"|"1"|"to destroy"|"vernietigen"|"yok etmek"|"NL"|"TR"
"دَمَّرَ"|"د م ر"|"دَمَّرَ"|"د م ر"|"II"|"8"|"to destroy"|"vernietigen"|"yok etmek"|"NL"|"TR"
"يَدْمَغُ"|"د م غ"|"يَدْمَغُ"|"د م غ"|"I"|"1"|"to break"|"breken"|"kırmak"|"NL"|"TR"
"دَنَا"|"د ن و"|"دَنَا"|"د ن و"|"I"|"2"|"to approach, to draw"|"benaderen, tekenen"|"yaklaşmak, çizmek"|"NL"|"TR"
"يُدْهِنُ"|"د ه ن"|"يُدْهِنُ"|"د ه ن"|"IV"|"2"|"to compromise"|"tot compromis komen"|"uzlaşmak"|"NL"|"TR"
"تَدُورُ"|"د و ر"|"تَدُورُ"|"د و ر"|"I"|"1"|"to revolve"|"wentelen"|"döndürmek"|"NL"|"TR"
"تُدِيرُ"|"د و ر"|"تُدِيرُ"|"د و ر"|"IV"|"1"|"to carry out"|"uitvoeren"|"yürütmek"|"NL"|"TR"
"نُدَاوِلُ"|"د و ل"|"نُدَاوِلُ"|"د و ل"|"III"|"1"|"to alternate"|"afwisselen"|"değişimli olarak yapmak"|"NL"|"TR"
"دَامُ"|"د و م"|"دَامُ"|"د و م"|"I"|"7"|"to be as long as"|"zo lang zijn"|"sürece olmak"|"NL"|"TR"
"يَدِينُ"|"د ي ن"|"يَدِينُ"|"د ي ن"|"I"|"1"|"to acknowledge"|"erkennen"|"kabul etmek"|"NL"|"TR"
"تَدَايَن"|"د ي ن"|"تَدَايَن"|"د ي ن"|"VI"|"1"|"to contract"|""|""|"NL"|"TR"
"ذُبِحَ"|"ذ ب ح"|"ذُبِحَ"|"ذ ب ح"|"I"|"5"|"to slaughter, to sacrifice"|"slachten, opofferen"|"katletmek, feda etmek"|"NL"|"TR"
"يُذَبِّحُ"|"ذ ب ح"|"يُذَبِّحُ"|"ذ ب ح"|"II"|"3"|"to slaughter"|"slachten"|"katliam yapmak"|"NL"|"TR"
"تَدَّخِرُ"|"ذ خ ر"|"تَدَّخِرُ"|"ذ خ ر"|"VIII"|"1"|"to store"|"opslaan"|"depolamak"|"NL"|"TR"
"ذَرَأَ"|"ذ ر ا"|"ذَرَأَ"|"ذ ر ا"|"I"|"6"|"to create, to produce, to multiply"|"creëren, produceren, vermenigvuldigen"|"yaratmak, üretmek, çoğalmak"|"NL"|"TR"
"تَذْرُو"|"ذ ر و"|"تَذْرُو"|"ذ ر و"|"I"|"1"|"to scatter"|"verstrooien"|"dağıtmak"|"NL"|"TR"
"ذَكَرَ"|"ذ ك ر"|"ذَكَرَ"|"ذ ك ر"|"I"|"84"|"to remember, to mention"|"onthouden, opnoemen"|"hatırlamak, bahsetmek"|"NL"|"TR"
"ذُكِّرَ"|"ذ ك ر"|"ذُكِّرَ"|"ذ ك ر"|"II"|"18"|"to remind"|"herinneren"|"hatırlatmak"|"NL"|"TR"
"تَذَكَّرَ"|"ذ ك ر"|"تَذَكَّرَ"|"ذ ك ر"|"V"|"51"|"to receive admonition"|"vermaning ontvangen"|"öğüt almak"|"NL"|"TR"
"ٱدَّكَرَ"|"ذ ك ر"|"ٱدَّكَرَ"|"ذ ك ر"|"VIII"|"1"|"to remember"|"onthouden"|"hatırlamak"|"NL"|"TR"
"ذَكَّيْ"|"ذ ك و"|"ذَكَّيْ"|"ذ ك و"|"II"|"1"|"to slaughter"|"slachten"|"katliam yapmak"|"NL"|"TR"
"نَّذِلَّ"|"ذ ل ل"|"نَّذِلَّ"|"ذ ل ل"|"I"|"1"|"to humiliate"|"vernederen"|"aşağılamak"|"NL"|"TR"
"ذُلِّلَتْ"|"ذ ل ل"|"ذُلِّلَتْ"|"ذ ل ل"|"II"|"2"|"to tame"|"temmen"|"evcilleştirmek"|"NL"|"TR"
"تُذِلُّ"|"ذ ل ل"|"تُذِلُّ"|"ذ ل ل"|"IV"|"1"|"to humiliate"|"vernederen"|"aşağılamak"|"NL"|"TR"
"ذَهَبَ"|"ذ ه ب"|"ذَهَبَ"|"ذ ه ب"|"I"|"35"|"to go, to take away"|"gaan, meenemen"|"gitmek, götürmek"|"NL"|"TR"
"أَذْهَبَ"|"ذ ه ب"|"أَذْهَبَ"|"ذ ه ب"|"IV"|"11"|"to remove, to take away"|"verwijderen, meenemen"|"kaldırmak, götürmek"|"NL"|"TR"
"تَذْهَلُ"|"ذ ه ل"|"تَذْهَلُ"|"ذ ه ل"|"I"|"1"|"to forget"|"vergeten"|"unutmak"|"NL"|"TR"
"تَذُودَ"|"ذ و د"|"تَذُودَ"|"ذ و د"|"I"|"1"|"to keep back"|"terughouden"|"geri tutmak"|"NL"|"TR"
"ذَاقُ"|"ذ و ق"|"ذَاقُ"|"ذ و ق"|"I"|"36"|"to taste"|"proeven"|"tadına bakmak"|"NL"|"TR"
"أَذَاقَ"|"ذ و ق"|"أَذَاقَ"|"ذ و ق"|"IV"|"22"|"to cause taste"|""|""|"NL"|"TR"
"أَذَاعُ"|"ذ ي ع"|"أَذَاعُ"|"ذ ي ع"|"IV"|"1"|"to spread"|"spreiden"|"yaymak"|"NL"|"TR"
"رَءَا"|"ر ا ي"|"رَءَا"|"ر ا ي"|"I"|"271"|"to see"|"te zien"|"görmek"|"NL"|"TR"
"يُرَآءُ"|"ر ا ي"|"يُرَآءُ"|"ر ا ي"|"III"|"2"|"to show off"|"pronken"|"göstermek"|"NL"|"TR"
"أَرَيْ"|"ر ا ي"|"أَرَيْ"|"ر ا ي"|"IV"|"40"|"to show"|"laten zien"|"göstermek"|"NL"|"TR"
"تَرَآءَتِ"|"ر ا ي"|"تَرَآءَتِ"|"ر ا ي"|"VI"|"2"|"to come in sight"|"komt in zicht"|"ortaya çıkmak"|"NL"|"TR"
"رَبِحَت"|"ر ب ح"|"رَبِحَت"|"ر ب ح"|"I"|"1"|"to profit"|"winst maken"|"kar etmek"|"NL"|"TR"
"تَرَبَّصْ"|"ر ب ص"|"تَرَبَّصْ"|"ر ب ص"|"V"|"13"|"to await"|"afwachten"|"beklemek"|"NL"|"TR"
"رَّبَطْ"|"ر ب ط"|"رَّبَطْ"|"ر ب ط"|"I"|"3"|"to strengthen, to make firm"|"versterken, stevig maken"|"güçlendirmek, sağlamlaştırmak"|"NL"|"TR"
"رَابِطُ"|"ر ب ط"|"رَابِطُ"|"ر ب ط"|"III"|"1"|"to be constant"|"constant zijn"|"sabit olmak"|"NL"|"TR"
"رَبَتْ"|"ر ب و"|"رَبَتْ"|"ر ب و"|"I"|"4"|"to increase, to swell"|"toenemen, zwellen"|"artmak, şişmek"|"NL"|"TR"
"رَبَّيَ"|"ر ب و"|"رَبَّيَ"|"ر ب و"|"II"|"2"|"to bring up"|"groot brengen"|"yetiştirmek"|"NL"|"TR"
"أَرْبَىٰ"|"ر ب و"|"أَرْبَىٰ"|"ر ب و"|"IV"|"2"|"to increase, to make numerous"|"verhogen, talrijke maken"|"artırmak, Çok sayıda yapmak"|"NL"|"TR"
"يَرْتَعْ"|"ر ت ع"|"يَرْتَعْ"|"ر ت ع"|"I"|"1"|"to enjoy"|"genieten"|"zevk almak"|"NL"|"TR"
"رَتَّلْ"|"ر ت ل"|"رَتَّلْ"|"ر ت ل"|"II"|"2"|"to recite"|"reciteren"|"ezberden okumak"|"NL"|"TR"
"رُجَّتِ"|"ر ج ج"|"رُجَّتِ"|"ر ج ج"|"I"|"1"|"to shake"|"schudden"|"sallamak"|"NL"|"TR"
"رَجَعَ"|"ر ج ع"|"رَجَعَ"|"ر ج ع"|"I"|"79"|"to return"|"terugbrengen"|"dönmek"|"NL"|"TR"
"يَتَرَاجَعَ"|"ر ج ع"|"يَتَرَاجَعَ"|"ر ج ع"|"VI"|"1"|"to return"|"terugbrengen"|"dönmek"|"NL"|"TR"
"تَرْجُفُ"|"ر ج ف"|"تَرْجُفُ"|"ر ج ف"|"I"|"2"|"to quake"|"beven"|"sarsılmak"|"NL"|"TR"
"رَجَمْ"|"ر ج م"|"رَجَمْ"|"ر ج م"|"I"|"5"|"to stone"|"te stenigen"|"taşlamak"|"NL"|"TR"
"يَرْجُوا۟"|"ر ج و"|"يَرْجُوا۟"|"ر ج و"|"I"|"22"|"to hope, to expect, to desire"|"hopen, verwachten, verlangen"|"Umut etmek, beklemek, arzulamak"|"NL"|"TR"
"تُرْجِى"|"ر ج و"|"تُرْجِى"|"ر ج و"|"IV"|"3"|"to defer, to postpone"|"uitstellen, uitstellen"|"erteleme, erteleme"|"NL"|"TR"
"رَحُبَتْ"|"ر ح ب"|"رَحُبَتْ"|"ر ح ب"|"I"|"2"|"to be vast"|"groot zijn"|"büyük olmak"|"NL"|"TR"
"رَّحِمَ"|"ر ح م"|"رَّحِمَ"|"ر ح م"|"I"|"28"|"to have mercy"|"genade hebben"|"merhamet etmek"|"NL"|"TR"
"رَدَّ"|"ر د د"|"رَدَّ"|"ر د د"|"I"|"36"|"to turn back, to return"|"terugkeren, terugkeren"|"geri çevirmek, geri dönmek"|"NL"|"TR"
"يَتَرَدَّدُ"|"ر د د"|"يَتَرَدَّدُ"|"ر د د"|"V"|"1"|"to waver"|"wankelen"|"sallanmak"|"NL"|"TR"
"ٱرْتَدَّ"|"ر د د"|"ٱرْتَدَّ"|"ر د د"|"VIII"|"8"|"to turn back, to return"|"terugkeren, terugkeren"|"geri çevirmek, geri dönmek"|"NL"|"TR"
"رَدِفَ"|"ر د ف"|"رَدِفَ"|"ر د ف"|"I"|"1"|"to be close behind"|""|""|"NL"|"TR"
"تَرْدَىٰ"|"ر د ي"|"تَرْدَىٰ"|"ر د ي"|"I"|"1"|"to perish"|"vergaan"|"yok olmak"|"NL"|"TR"
"أَرْدَىٰ"|"ر د ي"|"أَرْدَىٰ"|"ر د ي"|"IV"|"3"|"to ruin"|"ruïneren"|"harab etmek/mahvetmek"|"NL"|"TR"
"تَرَدَّىٰٓ"|"ر د ي"|"تَرَدَّىٰٓ"|"ر د ي"|"V"|"1"|"to fall"|"vallen"|"düşmek"|"NL"|"TR"
"رَزَقَ"|"ر ز ق"|"رَزَقَ"|"ر ز ق"|"I"|"61"|"to provide"|"voorzien"|"temin etmek"|"NL"|"TR"
"أَرْسَلَ"|"ر س ل"|"أَرْسَلَ"|"ر س ل"|"IV"|"130"|"to send"|"versturen"|"göndermek"|"NL"|"TR"
"أَرْسَىٰ"|"ر س و"|"أَرْسَىٰ"|"ر س و"|"I"|"1"|"to make"|"maken"|"yapmak"|"NL"|"TR"
"يَرْشُدُ"|"ر ش د"|"يَرْشُدُ"|"ر ش د"|"I"|"1"|"to be led aright"|""|""|"NL"|"TR"
"يُرْضِعْ"|"ر ض ع"|"يُرْضِعْ"|"ر ض ع"|"I"|"1"|"to suckle"|"zogen"|"emzirmek"|"NL"|"TR"
"أَرْضَعَتْ"|"ر ض ع"|"أَرْضَعَتْ"|"ر ض ع"|"IV"|"5"|"to nurse, to suckle"|"verzorgen, zogen"|"bakmak, emzirmek"|"NL"|"TR"
"تَسْتَرْضِعُ"|"ر ض ع"|"تَسْتَرْضِعُ"|"ر ض ع"|"X"|"1"|"to suckle"|"zogen"|"emzirmek"|"NL"|"TR"
"رَّضِىَ"|"ر ض و"|"رَّضِىَ"|"ر ض و"|"I"|"38"|"to be pleased"|"blij zijn"|"memnun olmak"|"NL"|"TR"
"يُرْضُ"|"ر ض و"|"يُرْضُ"|"ر ض و"|"IV"|"3"|"to please, to satisfy"|"behagen, voldoen aan"|"hoşnut olmak, tatmin etmek"|"NL"|"TR"
"تَرَٰضَ"|"ر ض و"|"تَرَٰضَ"|"ر ض و"|"VI"|"2"|"to agree"|"instemmen"|"kabul etmek"|"NL"|"TR"
"ٱرْتَضَىٰ"|"ر ض و"|"ٱرْتَضَىٰ"|"ر ض و"|"VIII"|"3"|"to approve"|"goed keuren"|"onaylamak"|"NL"|"TR"
"رَعَ"|"ر ع ي"|"رَعَ"|"ر ع ي"|"I"|"2"|"to pasture, to observe"|"grazen, observeren"|"otlamak, gözlemlemek"|"NL"|"TR"
"رَٰعِ"|"ر ع ي"|"رَٰعِ"|"ر ع ي"|"III"|"2"|"to observe"|"waarnemen"|"gözlemlemek"|"NL"|"TR"
"يَرْغَبُ"|"ر غ ب"|"يَرْغَبُ"|"ر غ ب"|"I"|"4"|"to desire, to prefer"|"verlangen, voorkeur geven"|"arzulamak, tercih etmek"|"NL"|"TR"
"رَفَعَ"|"ر ف ع"|"رَفَعَ"|"ر ف ع"|"I"|"22"|"to raise"|"verhogen"|"yükseltmek"|"NL"|"TR"
"يَرْقُبُ"|"ر ق ب"|"يَرْقُبُ"|"ر ق ب"|"I"|"3"|"to respect"|"respect hebben"|"saygı duymak"|"NL"|"TR"
"يَتَرَقَّبُ"|"ر ق ب"|"يَتَرَقَّبُ"|"ر ق ب"|"V"|"2"|"to be vigilant"|"waakzaam zijn"|"uyanık olmak"|"NL"|"TR"
"ٱرْتَقِبْ"|"ر ق ب"|"ٱرْتَقِبْ"|"ر ق ب"|"VIII"|"4"|"to watch"|"kijken"|"izlemek"|"NL"|"TR"
"تَرْقَىٰ"|"ر ق ي"|"تَرْقَىٰ"|"ر ق ي"|"I"|"1"|"to ascend"|"optijgen"|"yükselmek"|"NL"|"TR"
"يَرْتَقُ"|"ر ق ي"|"يَرْتَقُ"|"ر ق ي"|"VIII"|"1"|"to ascend"|"opstijgen"|"yükselmek"|"NL"|"TR"
"رَكِبَ"|"ر ك ب"|"رَكِبَ"|"ر ك ب"|"I"|"9"|"to ride, to embark"|"rijden, aan boord gaan"|"sürmek, yolcu almak"|"NL"|"TR"
"رَكَّبَ"|"ر ك ب"|"رَكَّبَ"|"ر ك ب"|"II"|"1"|"to assemble"|"monteren"|"monte etmek"|"NL"|"TR"
"أَرْكَسَ"|"ر ك س"|"أَرْكَسَ"|"ر ك س"|"IV"|"2"|"to cast back, to plunge"|"terug werpen, duiken"|"Geri atmak, atılmak"|"NL"|"TR"
"يَرْكُضُ"|"ر ك ض"|"يَرْكُضُ"|"ر ك ض"|"I"|"3"|"to flee, to strike"|"vluchten, slaan/staken"|"kaçmak, vurmak/grev"|"NL"|"TR"
"يَرْكَعُ"|"ر ك ع"|"يَرْكَعُ"|"ر ك ع"|"I"|"5"|"to bow"|"buigen"|"eğmek"|"NL"|"TR"
"يَرْكُمَ"|"ر ك م"|"يَرْكُمَ"|"ر ك م"|"I"|"1"|"to heap"|"ophopen"|"tepeleme doldurmak"|"NL"|"TR"
"تَرْكَنُ"|"ر ك ن"|"تَرْكَنُ"|"ر ك ن"|"I"|"2"|"to incline"|"neigen"|"eğilmek/meyletmek"|"NL"|"TR"
"رَمَىٰ"|"ر م ي"|"رَمَىٰ"|"ر م ي"|"I"|"9"|"to throw, to accuse"|"gooien, beschuldigen"|"atmak, suçlamak"|"NL"|"TR"
"يَرْهَبُ"|"ر ه ب"|"يَرْهَبُ"|"ر ه ب"|"I"|"3"|"to fear"|"vrezen"|"korkmak"|"NL"|"TR"
"تُرْهِبُ"|"ر ه ب"|"تُرْهِبُ"|"ر ه ب"|"IV"|"1"|"to terrify"|"verschrikken"|"korkutmak"|"NL"|"TR"
"ٱسْتَرْهَبُ"|"ر ه ب"|"ٱسْتَرْهَبُ"|"ر ه ب"|"X"|"1"|"to terrify"|"verschrikken"|"korkutmak"|"NL"|"TR"
"يَرْهَقُ"|"ر ه ق"|"يَرْهَقُ"|"ر ه ق"|"I"|"5"|"to cover"|"bedekken"|"kaplamak"|"NL"|"TR"
"يُرْهِقَ"|"ر ه ق"|"يُرْهِقَ"|"ر ه ق"|"IV"|"3"|"to be hard on, to overburden, to cover"|"hard op zijn, overbelast zijn, bedekken"|"zor olmak, fazla yüklemek, kaplamak"|"NL"|"TR"
"تُرِيحُ"|"ر و ح"|"تُرِيحُ"|"ر و ح"|"IV"|"1"|"to bring"|"brengen"|"getirmek"|"NL"|"TR"
"رَٰوَدُ"|"ر و د"|"رَٰوَدُ"|"ر و د"|"III"|"8"|"to seduce, to demand, to get permission"|"verleiden, eisen, toestemming krijgen"|"ayartmak, talep etmek, izin almak"|"NL"|"TR"
"أَرَادَ"|"ر و د"|"أَرَادَ"|"ر و د"|"IV"|"139"|"to intend, to desire, to want, to wish"|"van plan zijn, verlangen, willen, wensen"|"niyet etmek, arzulamak, istemek, dilemek"|"NL"|"TR"
"رَاغَ"|"ر و غ"|"رَاغَ"|"ر و غ"|"I"|"3"|"to turn"|"draaien"|"çevirmek"|"NL"|"TR"
"ٱرْتَابَ"|"ر ي ب"|"ٱرْتَابَ"|"ر ي ب"|"VIII"|"9"|"to doubt"|"twijfelen"|"şüphe etmek"|"NL"|"TR"
"رَانَ"|"ر ي ن"|"رَانَ"|"ر ي ن"|"I"|"1"|"to cover"|"bedekken"|"kapsamak/körtmek"|"NL"|"TR"
"ٱزْدُجِرَ"|"ز ج ر"|"ٱزْدُجِرَ"|"ز ج ر"|"VIII"|"1"|"to repell"|""|""|"NL"|"TR"
"يُزْجِى"|"ز ج و"|"يُزْجِى"|"ز ج و"|"IV"|"2"|"to drive"|"rijden"|"sürmek"|"NL"|"TR"
"زُحْزِحَ"|"ز ح ز ح"|"زُحْزِحَ"|"ز ح ز ح"|"I"|"1"|"to draw away"|"wegtrekken"|"uzaklaşmak"|"NL"|"TR"
"تَزْرَعُ"|"ز ر ع"|"تَزْرَعُ"|"ز ر ع"|"I"|"2"|"to plant, to sow"|"planten, zaaien"|"bitki ekmek, ekmek"|"NL"|"TR"
"تَزْدَرِىٓ"|"ز ر ي"|"تَزْدَرِىٓ"|"ز ر ي"|"VIII"|"1"|"to look down"|"neerkijken"|"aşağı bakmak"|"NL"|"TR"
"زَعَمَ"|"ز ع م"|"زَعَمَ"|"ز ع م"|"I"|"13"|"to claim"|"beweren"|"iddia etmek"|"NL"|"TR"
"يَزِفُّ"|"ز ف ف"|"يَزِفُّ"|"ز ف ف"|"I"|"1"|"to hasten"|"verhaasten"|"hızlandırmak"|"NL"|"TR"
"زَكَىٰ"|"ز ك و"|"زَكَىٰ"|"ز ك و"|"I"|"1"|"to purify"|"zuiveren"|"saflaştırmak"|"NL"|"TR"
